,index,NUMBER,STREET,CITY,REGION,POSTCODE,ADDRESS,bathrooms,bedrooms,comps_link,graphs_data,home_details,last_sold_date,last_sold_price,lot_size_sqft,map,sqft,valuation_range_high,valuation_range_low,year_built,zestimate
0,8000,16,Longleat Ln,Bella Vista,AR,72714,16 Longleat Ln Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70671460_zpid/,http://www.zillow.com/homedetails/16-Longleat-Ln-Bella-Vista-AR-72714/70671460_zpid/#charts-and-data,http://www.zillow.com/homedetails/16-Longleat-Ln-Bella-Vista-AR-72714/70671460_zpid/,10/25/2004,2000,13939,http://www.zillow.com/homes/70671460_zpid/,1312,127289.0,115167.0,1996,121228.0
1,8001,18,Longleat Ln,Bella Vista,AR,72714,18 Longleat Ln Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70623571_zpid/,http://www.zillow.com/homedetails/18-Longleat-Ln-Bella-Vista-AR-72714/70623571_zpid/#charts-and-data,http://www.zillow.com/homedetails/18-Longleat-Ln-Bella-Vista-AR-72714/70623571_zpid/,10/04/2006,129000,13939,http://www.zillow.com/homes/70623571_zpid/,1369,137058.0,124004.0,2002,130531.0
2,8002,19,Longleat Ln,Bella Vista,AR,72714,19 Longleat Ln Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70727310_zpid/,http://www.zillow.com/homedetails/19-Longleat-Ln-Bella-Vista-AR-72714/70727310_zpid/#charts-and-data,http://www.zillow.com/homedetails/19-Longleat-Ln-Bella-Vista-AR-72714/70727310_zpid/,10/07/2002,104000,11761,http://www.zillow.com/homes/70727310_zpid/,1565,151838.0,137378.0,1995,144608.0
3,8003,20,Longleat Ln,Bella Vista,AR,72714,20 Longleat Ln Bella Vista AR,1.0,2,http://www.zillow.com/homes/comps/70730885_zpid/,http://www.zillow.com/homedetails/20-Longleat-Ln-Bella-Vista-AR-72714/70730885_zpid/#charts-and-data,http://www.zillow.com/homedetails/20-Longleat-Ln-Bella-Vista-AR-72714/70730885_zpid/,11/01/2010,70000,13504,http://www.zillow.com/homes/70730885_zpid/,916,89983.0,80556.0,1986,85698.0
4,8004,6,Longridge Ln,Bella Vista,AR,72715,6 Longridge Ln Bella Vista AR,,,,,,,,,,,,,,
5,8005,7,Longridge Ln,Bella Vista,AR,72715,7 Longridge Ln Bella Vista AR,3.0,3,http://www.zillow.com/homes/comps/70621087_zpid/,http://www.zillow.com/homedetails/7-Longridge-Ln-Bella-Vista-AR-72715/70621087_zpid/#charts-and-data,http://www.zillow.com/homedetails/7-Longridge-Ln-Bella-Vista-AR-72715/70621087_zpid/,05/24/2005,200000,29620,http://www.zillow.com/homes/70621087_zpid/,2516,253242.0,229124.0,2004,241183.0
6,8006,11,Longridge Ln,Bella Vista,AR,72715,11 Longridge Ln Bella Vista AR,1.5,,http://www.zillow.com/homes/comps/70641503_zpid/,http://www.zillow.com/homedetails/11-Longridge-Ln-Bella-Vista-AR-72715/70641503_zpid/#charts-and-data,http://www.zillow.com/homedetails/11-Longridge-Ln-Bella-Vista-AR-72715/70641503_zpid/,12/21/2004,77000,14375,http://www.zillow.com/homes/70641503_zpid/,1338,126574.0,109698.0,,120547.0
7,8007,17,Longridge Ln,Bella Vista,AR,72715,17 Longridge Ln Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70698091_zpid/,http://www.zillow.com/homedetails/17-Longridge-Ln-Bella-Vista-AR-72715/70698091_zpid/#charts-and-data,http://www.zillow.com/homedetails/17-Longridge-Ln-Bella-Vista-AR-72715/70698091_zpid/,04/19/2011,9000,14375,http://www.zillow.com/homes/70698091_zpid/,1668,151958.0,137486.0,1986,144722.0
8,8008,19,Longridge Ln,Bella Vista,AR,72715,19 Longridge Ln Bella Vista AR,2.5,3,http://www.zillow.com/homes/comps/70721304_zpid/,http://www.zillow.com/homedetails/19-Longridge-Ln-Bella-Vista-AR-72715/70721304_zpid/#charts-and-data,http://www.zillow.com/homedetails/19-Longridge-Ln-Bella-Vista-AR-72715/70721304_zpid/,07/16/2015,153000,12196,http://www.zillow.com/homes/70721304_zpid/,2119,204393.0,184927.0,1998,194660.0
9,8009,21,Longridge Ln,Bella Vista,AR,72715,21 Longridge Ln Bella Vista AR,1.5,3,http://www.zillow.com/homes/comps/70655071_zpid/,http://www.zillow.com/homedetails/21-Longridge-Ln-Bella-Vista-AR-72715/70655071_zpid/#charts-and-data,http://www.zillow.com/homedetails/21-Longridge-Ln-Bella-Vista-AR-72715/70655071_zpid/,01/21/2010,98000,12632,http://www.zillow.com/homes/70655071_zpid/,1224,124812.0,112926.0,1997,118869.0
